"","Year","Area","Street","Street.2"
"458",2011,NA,"Sutton Town Centre",""
"459",2011,NA,"Sutton Town Centre",""
"460",2011,NA,"Sutton Town Centre",""
"461",2011,NA,"Sutton Town Centre",""
"462",2011,NA,"Sutton Town Centre",""
"463",2011,NA,"Tedbury Crescent",""
"464",2011,NA,"Tesco S Express Walsall Rd. Four Oaks Sutton Coldfield",""
"465",2011,NA,"The Parade",""
"466",2011,NA,"The Parade",""
"467",2011,NA,"The Parade",""
"468",2011,NA,"The Parade Sutton",""
"469",2011,NA,"THE PARADE SUTTON COLDFIELD",""
"470",2011,NA,"The Parade Birmingham Rd. Sutton Coldfield",""
"471",2011,NA,"The Parade Sutton Coldfield",""
"472",2011,NA,"The Parade Sutton Coldfield",""
"473",2011,NA,"The Parade Sutton Coldfield",""
"474",2011,NA,"The Parade Sutton Coldfield",""
"475",2011,NA,"The Parade Sutton Coldfield",""
"476",2011,NA,"The Parade Sutton Coldfield",""
"477",2011,NA,"The Parade Sutton Town Centre",""
"478",2011,NA,"The Parade",""
"479",2011,NA,"THE RIDGEWAY",""
"480",2011,NA,"The Ridgeway",""
"481",2011,NA,"The Ridgeway",""
"482",2011,NA,"The Swan PH",""
"483",2011,NA,"Turnhouse Rd.",""
"484",2011,NA,"Upper Holland Rd.",""
"485",2011,NA,"Victoria Rd",""
"486",2011,NA,"Victoria Rd",""
"487",2011,NA,"Victoria Rd",""
"488",2011,NA,"Walsh Dr. Walmley Sutton Coldfield",""
"489",2011,NA,"Warren Farm Rd",""
"490",2011,NA,"Warren Farm Rd.",""
"491",2011,NA,"Whitehouse Common Rd",""
"492",2011,NA,"Wilton Rd",""
"493",2011,NA,"Windsor House Jarvis Rd. Erdington",""
"494",2011,NA,"Witton Lodge Rd.",""
"495",2011,NA,"Witton Lodge Rd. Erdington",""
"496",2011,NA,"York Rd.",""
"497",2011,NA,"Abdon Ave",""
"498",2011,NA,"Alcester Rd. South",""
"499",2011,NA,"Alvechurch Rd",""
"500",2011,NA,"Arden Rd.",""
"501",2011,NA,"Ardencote Froad",""
"502",2011,NA,"Ashley Close",""
"503",2011,NA,"Balti Spice Bristol Rd South",""
"504",2011,NA,"Barnes Hill",""
"505",2011,NA,"Barrow House",""
"506",2011,NA,"Bell Str.",""
"507",2011,NA,"Birmingham New Str.",""
"508",2011,NA,"Birmingham New Str.",""
"509",2011,NA,"Birmingham New Str.",""
"510",2011,NA,"Birmingham Str. Oldbury",""
"511",2011,NA,"Blandford Rd.",""
"512",2011,NA,"Bournbrook Rd.",""
"513",2011,NA,"Bournville Front Office",""
"514",2011,NA,"Bournville Front Office",""
"515",2011,NA,"Bournville Lan.",""
"516",2011,NA,"Bournville Lan.",""
"517",2011,NA,"Bournville Lan. Front Office",""
"518",2011,NA,"Bowling Gr. Rd.",""
"519",2011,NA,"Bristol Rd",""
"520",2011,NA,"Bristol Rd",""
"521",2011,NA,"Bristol Rd",""
"522",2011,NA,"Bristol Rd",""
"523",2011,NA,"Bristol Rd Selly Oak",""
"524",2011,NA,"Bristol Rd South",""
"525",2011,NA,"Bristol Rd South",""
"526",2011,NA,"Bristol Rd Sth",""
"527",2011,NA,"Bristol Rd Northfield",""
"528",2011,NA,"Bristol Rd Selly Oak",""
"529",2011,NA,"Bristol Rd.",""
"530",2011,NA,"Bristol Rd.",""
"531",2011,NA,"Bristol Rd.",""
"532",2011,NA,"Bristol Rd.",""
"533",2011,NA,"Bristol Rd.",""
"534",2011,NA,"Bristol Rd.",""
"535",2011,NA,"Bristol Rd.",""
"536",2011,NA,"Bristol Rd.",""
"537",2011,NA,"Bristol Rd.",""
"538",2011,NA,"Bristol Rd.",""
"539",2011,NA,"Bristol Rd.",""
"540",2011,NA,"Bristol Rd.",""
"541",2011,NA,"Bristol Rd.",""
"542",2011,NA,"Bristol Rd.",""
"543",2011,NA,"Bristol Rd. Northfield",""
"544",2011,NA,"Bristol Rd. Selly Oak",""
"545",2011,NA,"Bristol Rd. Selly Oak",""
"546",2011,NA,"Bristol Rd. Selly Oak",""
"547",2011,NA,"Bristol Rd. South Northfield",""
"548",2011,NA,"Bristol Rd. South Selly Oak",""
"549",2011,NA,"Bristol Rd. Selly Oak",""
"550",2011,NA,"Bristol Rd. Selly Oak",""
"551",2011,NA,"Bristol Rd. Selly Oak",""
"552",2011,NA,"Broad Str.",""
"553",2011,NA,"Broad Str.",""
"554",2011,NA,"Broad Str.",""
"555",2011,NA,"Broad Str. City Centre",""
"556",2011,NA,"Broad Str. City Centre",""
"557",2011,NA,"Brook Lan.",""
"558",2011,NA,"Bunburry Rd.",""
"559",2011,NA,"Bunburry Rd.",""
"560",2011,NA,"Burnhill Grove Weoley Castle Birmingham",""
"561",2011,NA,"Car Pk. Of Bournville Lan. P Stn",""
"562",2011,NA,"Chinbrook Rd. Billsley",""
"563",2011,NA,"Church Hill Nortthfield",""
"564",2011,NA,"Church Rd.",""
"565",2011,NA,"Compton Rd. Cradley Heath",""
"566",2011,NA,"Costcutters Ardern Rd.",""
"567",2011,NA,"Dawberry Rd.",""
"568",2011,NA,"Dawlish Rd.",""
"569",2011,NA,"Dingle Club",""
"570",2011,NA,"Doddington Rd.",""
"571",2011,NA,"Dog Kennel Lan.",""
"572",2011,NA,"Dog Pool Lan.",""
